country,year,yhat,lightgbm_pred,hybrid_forecast,energy_yhat,energy_lightgbm_pred,energy_forecast
China,2015,9531.353701138414,7365.391899108887,8448.37280012365,35116.35095114814,26306.054656982422,30711.20280406528
China,2016,9813.680652262115,7365.391899108887,8589.536275685501,36557.93261733169,26306.054656982422,31431.993637157055
China,2017,10249.474417321224,7365.391899108887,8807.433158215055,38101.898938037724,26306.054656982422,32203.976797510073
China,2018,10567.503127242326,7365.391899108887,8966.447513175606,39511.6790488406,26306.054656982422,32908.86685291151
China,2019,10867.656837776241,7365.391899108887,9116.524368442564,40937.38185236698,26306.054656982422,33621.718254674706
China,2020,11149.965221654547,7365.391899108887,9257.678560381717,42378.963516578726,26306.054656982422,34342.50908678057
China,2021,11585.753216691919,7365.391899108887,9475.572557900403,43922.92983612808,26306.054656982422,35114.49224655525
China,2022,11903.781926612755,7365.391899108887,9634.586912860821,45332.709946930576,26306.054656982422,35819.3823019565
China,2023,12203.935637146627,7365.391899108887,9784.663768127757,46758.41275045641,26306.054656982422,36532.233703719416
China,2024,12750.767121670007,7365.391899108887,10058.079510389447,49657.380540894985,26306.054656982422,37981.7175989387
France,1993,392.80162880001944,363.7344722747803,378.26805053739986,2891.176101932394,2887.5252075195312,2889.3506547259626
France,1994,391.7446715453726,363.7344722747803,377.73957191007645,2907.5157971640538,2887.5252075195312,2897.5205023417925
France,1995,392.56406347016974,363.7344722747803,378.149267872475,2937.6854397371885,2887.5252075195312,2912.6053236283597
France,1996,395.26184628064277,363.7344722747803,379.4981592777115,2981.6695333372236,2887.5252075195312,2934.5973704283774
France,1997,402.13880326868247,363.7344722747803,382.9366377717314,2994.8527450090514,2887.5252075195312,2941.1889762642913
France,1998,401.079584793676,363.7344722747803,382.4070285342282,3011.1887412760307,2887.5252075195312,2949.356974397781
France,1999,401.89089674525565,363.7344722747803,382.81268451001796,3041.3546848438245,2887.5252075195312,2964.439946181678
France,2000,404.5791561786589,363.7344722747803,384.1568142267196,3085.280493130815,2887.5252075195312,2986.402850325173
France,2001,411.329083563071,363.7344722747803,387.5317779189256,3098.3315581398765,2887.5252075195312,2992.928382829704
France,2002,410.14313930372225,363.7344722747803,386.93880578925126,3114.5255306330455,2887.5252075195312,3001.0253690762884
France,2003,407.91086490480507,363.7344722747803,385.82266858979267,3144.480503687121,2887.5252075195312,3016.002855603326
France,2004,407.5489754508076,363.7344722747803,385.6417238627939,3180.170922614811,2887.5252075195312,3033.848065067171
France,2005,411.3454696254481,363.7344722747803,387.5399709501142,3155.9538373142013,2887.5252075195312,3021.7395224168663
France,2006,400.9023940860167,363.7344722747803,382.31843318039853,3109.636237635823,2887.5252075195312,2998.580722577677
France,2007,392.3313694264344,363.7344722747803,378.0329208506073,3077.126389615872,2887.5252075195312,2982.325798567702
France,2008,385.63583543971714,363.7344722747803,374.6851538572487,3058.3660179225903,2887.5252075195312,2972.9456127210606
France,2009,383.0926032876507,363.7344722747803,373.4135377812155,3008.607149234705,2887.5252075195312,2948.0661783771184
France,2010,372.6411950894578,363.7344722747803,368.18783368211905,2962.1703061818407,2887.5252075195312,2924.847756850686
France,2011,364.06613606686193,363.7344722747803,363.9003041708211,2929.4756916089154,2887.5252075195312,2908.5004495642233
France,2012,357.36946793013453,363.7344722747803,360.5519701024574,2909.875331623899,2887.5252075195312,2898.700269571715
France,2013,354.826235776819,363.7344722747803,359.2803540257996,2859.2632328806358,2887.5252075195312,2873.3942202000835
France,2014,344.37482757940523,363.7344722747803,354.0546499270928,2811.9368814376876,2887.5252075195312,2849.7310444786094
France,2015,335.79976855894887,363.7344722747803,349.7671204168646,2778.3871414912855,2887.5252075195312,2832.9561745054084
France,2016,329.10310042604794,363.7344722747803,346.4187863504141,2758.5848970552784,2887.5252075195312,2823.0550522874046
France,2017,326.55986827530535,363.7344722747803,345.1471702750428,2707.7460867669583,2887.5252075195312,2797.6356471432446
France,2018,316.10846008112946,363.7344722747803,339.92146617795487,2660.1886045891983,2887.5252075195312,2773.856906054365
France,2019,307.5334010643603,363.7344722747803,335.6339366695703,2626.46106975119,2887.5252075195312,2756.9931386353605
France,2020,300.83673293390865,363.7344722747803,332.2856026043445,2606.5479860311507,2887.5252075195312,2747.036596775341
France,2021,298.2935007845448,363.7344722747803,331.01398652966253,2555.6589597002676,2887.5252075195312,2721.5920836098994
France,2022,287.84209259036265,363.7344722747803,325.78828243257146,2508.101477522526,2887.5252075195312,2697.8133425210285
France,2023,279.2670335736085,363.7344722747803,321.5007529241944,2474.3739426844595,2887.5252075195312,2680.9495751019954
France,2024,267.75070638044247,363.7344722747803,315.74258932761137,2448.321542849956,2887.5252075195312,2667.9233751847437
Germany,1993,967.1430268858323,824.9265937805176,896.034810333175,4083.814985012841,3833.996139526367,3958.905562269604
Germany,1994,955.5144357570005,824.9265937805176,890.220514768759,4042.3261304948855,3833.996139526367,3938.1611350106264
Germany,1995,944.7828942946891,824.9265937805176,884.8547440376033,4018.8922620774347,3833.996139526367,3926.444200801901
Germany,1996,934.9613682554021,824.9265937805176,879.9439810179599,4013.553163781677,3833.996139526367,3923.774651654022
Germany,1997,935.8987756180062,824.9265937805176,880.412684699262,4047.961308986991,3833.996139526367,3940.978724256679
Germany,1998,924.2701844868736,824.9265937805176,874.5983891336956,4006.4724524985713,3833.996139526367,3920.2342960124693
Germany,1999,913.5386429777216,824.9265937805176,869.2326183791196,3983.019584353201,3833.996139526367,3908.507861939784
Germany,2000,903.7171168817662,824.9265937805176,864.3218553311419,3977.6333738444273,3833.996139526367,3905.8147566853972
Germany,2001,904.6545241365285,824.9265937805176,864.790558958523,4011.9648248667263,3833.996139526367,3922.9804821965467
Germany,2002,893.025932887646,824.9265937805176,858.9762633340818,3970.2935776837408,3833.996139526367,3902.1448586050537
Germany,2003,882.2943889163272,824.9265937805176,853.6104913484223,3946.578941154498,3833.996139526367,3890.2875403404323
Germany,2004,872.4712488225753,824.9265937805176,848.6989213015464,3940.8529875063723,3833.996139526367,3887.4245635163697
Germany,2005,873.4060073452238,824.9265937805176,849.1663005628707,3970.1253321531285,3833.996139526367,3902.060735839748
Germany,2006,861.7739999456447,824.9265937805176,843.3502968630812,3923.442858344702,3833.996139526367,3878.719498935535
